Time,Voltage
0,95.22539674
0.00010001,102.1467435
0.00020002,107.2391796
0.00030003,110.7014336
0.00040004,112.7728802
0.00050005,113.7217032
0.00060006,113.8322704
0.00070007,113.3922989
0.00080008,112.6803886
0.00090009,111.9544732
0.0010001,111.4416856
0.00110011,111.33006
0.00120012,111.7623977
0.00130013,112.8325174
0.00140014,114.5839924
0.00150015,117.0113593
0.00160016,120.0636638
0.00170017,123.6501006
0.00180018,127.6474111
0.00190019,131.90862
0.0020002,136.27264
0.00210021,140.5742394
0.00220022,144.6538581
0.00230023,148.3667777
0.00240024,151.5911936
0.00250025,154.2347971
0.00260026,156.2395626
0.00270027,157.5845269
0.00280028,158.2864588
0.00290029,158.3984198
0.0030003,158.0063338
0.00310031,157.2237776
0.00320032,156.1852989
0.00330033,155.0386397
0.00340034,153.936296
0.00350035,153.0268786
0.00360036,152.4467433
0.00370037,152.3123444
0.00380038,152.7137239
0.00390039,153.7094883
0.0040004,155.3235434
0.00410041,157.543767
0.00420042,160.3226938
0.00430043,163.5801826
0.00440044,167.2079282
0.00450045,171.0755842
0.00460046,175.0381747
0.00470047,178.9444018
0.00480048,182.6454069
0.00490049,186.0035133
0.0050005,188.9004752
0.00510051,191.2447765
0.00520052,192.9775678
0.00530053,194.076896
0.00540054,194.5599606
0.00550055,194.4832342
0.00560056,193.9403879
0.00570057,193.058076
0.00580058,191.9897457
0.00590059,190.9077391
0.0060006,189.9940494
0.00610061,189.430168
0.00620062,189.3865113
0.00630063,190.0119531
0.00640064,191.4239885
0.00650065,193.7000407
0.00660066,196.8703754
0.00670067,200.9130185
0.00680068,205.7509872
0.00690069,211.2520391
0.0070007,217.2310272
0.00710071,223.4548285
0.00720072,229.6496928
0.00730073,235.510738
0.00740074,240.7132191
0.00750075,244.9251033
0.00760076,247.8204198
0.00770077,249.0928059
0.00780078,248.4686529
0.00790079,245.7192673
0.0080008,240.6714948
0.00810081,233.2163208
0.00820082,223.3150416
0.00830083,211.0027087
0.00840084,196.3886627
0.00850085,179.654104
0.00860086,161.0467743
0.00870087,140.8729542
0.00880088,119.4870974
0.00890089,97.27952975
0.0090009,74.66272311
0.00910091,52.05672143
0.00920092,29.87432846
0.00930093,8.506678755
0.00940094,-11.69020627
0.00950095,-30.40732115
0.00960096,-47.39255225
0.00970097,-62.45813335
0.00980098,-75.48539676
0.00990099,-86.42665736
0.010001,-95.30419496
0.01010101,-102.206429
0.01020102,-107.2815026
0.01030103,-110.7286054
0.01040104,-112.7874606
0.01050105,-113.7264773
0.01060106,-113.83012
0.01070107,-113.3860753
0.01080108,-112.6727916
0.01090109,-111.9479421
0.0110011,-111.4383065
0.01110111,-111.331493
0.01120112,-111.7698276
0.01130113,-112.8466287
0.01140114,-114.6049691
0.01150115,-117.0389094
0.01160116,-120.0970654
0.01170117,-123.6882683
0.01180118,-127.688977
0.01190119,-131.9520265
0.0120012,-136.3162388
0.01210121,-140.6163908
0.01220122,-144.6930269
0.01230123,-148.4016202
0.01240124,-151.6206311
0.01250125,-154.2580733
0.01260126,-156.2562814
0.01270127,-157.5946701
0.01280128,-158.2903814
0.01290129,-158.3968256
0.0130013,-158.0002318
0.01310131,-157.2144216
0.01320132,-156.1741148
0.01330133,-155.0271431
0.01340134,-153.9260067
0.01350135,-153.0192344
0.01360136,-152.443019
0.01370137,-152.313581
0.01380138,-152.72067
0.01390139,-153.7225585
0.0140014,-155.3427955
0.01410141,-157.5688983
0.01420142,-160.3530587
0.01430143,-163.6148285
0.01440144,-167.2456493
0.01450145,-171.11499
0.01460146,-175.077769
0.01470147,-178.9826693
0.01480148,-182.6809011
0.01490149,-186.0349425
0.0150015,-188.9267808
0.01510151,-191.2651996
0.01520152,-192.9917009
0.01530153,-194.0847153
0.01540154,-194.561838
0.01550155,-194.4799276
0.01560156,-193.9330092
0.01570157,-193.0480391
0.01580158,-191.9786948
0.01590159,-190.8974626
0.0160016,-189.9863823
0.01610161,-189.4268869
0.01620162,-189.3892288
0.01630163,-190.0220149
0.01640164,-191.4423805
0.01650165,-193.7273094
0.01660166,-196.9065661
0.01670167,-200.9576362
0.01680168,-205.8029814
0.01690169,-211.309814
0.0170017,-217.2924787
0.01710171,-223.5174062
0.01720172,-229.7104844
0.01730173,-235.5665744
0.01740174,-240.7607942
0.01750175,-244.9611047
0.01760176,-247.8416646
0.01770177,-249.0963744
0.01780178,-248.4520168
0.01790179,-245.6804039
0.0180018,-240.6089842
0.01810181,-233.1294196
0.01820182,-223.2037321
0.01830183,-210.867718
0.01840184,-196.2314538
0.01850185,-179.476836
0.01860186,-160.8522357
0.01870187,-140.6644701
0.01880188,-119.2684154
0.01890189,-97.05468875
0.0190019,-74.43591076
0.01910191,-51.83212616
0.01920192,-29.6559923
0.01930193,-8.298357022
0.01940194,11.88517251
0.01950195,30.5861146
0.01960196,47.55296649
0.01970197,62.59863411
0.01980198,75.60515514
0.01990199,86.52555392
0.020002,95.38279514
0.02010201,102.2659313
0.02020202,107.3236624
0.02030203,110.7556381
0.02040204,112.8019289
0.02050205,113.7311678
0.02060206,113.8279148
0.02070207,113.3798249
0.02080208,112.6651938
0.02090209,111.9414329
0.0210021,111.434968
0.02110211,111.3329808
0.02120212,111.7773218
0.02130213,112.8608085
0.02140214,114.6260138
0.02150215,117.0665223
0.02160216,120.1305206
0.02170217,123.7264771
0.02180218,127.7305692
0.02190219,131.9954432
0.0220022,136.3598311
0.02210221,140.6585197
0.02220222,144.7321587
0.02230223,148.4364134
0.02240224,151.6500101
0.02250225,154.2812852
0.02260226,156.272934
0.02270227,157.6047487
0.02280228,158.2942447
0.02290229,158.3951809
0.0230023,157.9940907
0.02310231,157.2050401
0.02320232,156.1629199
0.02330233,155.0156512
0.02340234,153.915737
0.02350235,153.0116233
0.02360236,152.4393397
0.02370237,152.3148715
0.02380238,152.7276758
0.02390239,153.7356909
0.0240024,155.3621084
0.02410241,157.5940858
0.02420242,160.3834717
0.02430243,163.6495115
